EilatYam
Date,Time,Temp,Humidity,Absolute,Barometric,Solar,Wind,Wind,Wind,Level,Temp,PAR,UV
,,2m,,Humidity,Pressure,Radiation,Dir,Speed,Gusts,,Water,,
,,°C,%,g/m³,mb,W/m²,deg,m/s,m/s,cm,°C,mmol/m²/sec,mmol/m²/sec
01/08/15,01:00,35.3,22,8.8,1004.4,0,340,3.2,7.4,-15.8,27.1,0,0
01/08/15,02:00,34.3,23,8.8,1004.2,0,346,3,6.3,-11.5,26.9,0,0
01/08/15,03:00,32.9,28,9.9,1004.2,0,28,2.6,5.1,1.3,27.1,0,0
01/08/15,04:00,30.3,40,12.4,1004.5,0,51,4,6.9,21.6,27,0,0
01/08/15,05:00,30.5,35,10.8,1005,0,26,3.9,6.1,45.3,26.9,1,0
01/08/15,06:00,29.9,38,11.5,1005.3,32,28,4.6,7.8,61.4,26.9,86,5
01/08/15,07:00,29.6,41,12.2,1005.7,157,29,5.4,7.6,68.3,26.9,398,20
01/08/15,08:00,30.8,37,11.8,1005.9,398,38,6.6,9.3,65.2,26.9,790,45
01/08/15,09:00,31,40,12.8,1005.7,629,44,7.8,9.3,51,26.9,1165,73
01/08/15,10:00,32.3,36,12.3,1005.6,789,45,8.2,10,30,27,1470,99
01/08/15,11:00,33.7,32,11.9,1005.2,870,44,8.5,10.7,9.8,27.1,1670,120
01/08/15,12:00,35.3,28,11.3,1004.5,889,43,8.9,11.3,-8.7,27.2,1750,130
01/08/15,13:00,36.7,25,10.7,1003.6,866,47,8.6,10.6,-21.9,27.3,1720,127
01/08/15,14:00,38.2,21,9.6,1002.6,801,44,8.1,9.8,-22.5,27.3,1579,113
01/08/15,15:00,40.5,15,7.7,1002,690,43,7.8,11.3,-10.8,27.2,1328,91
01/08/15,16:00,41.5,14,7.5,1001.4,526,33,8.7,13.2,7.7,27.3,976,62
01/08/15,17:00,41.7,12,6.8,1000.9,324,30,8.9,13.5,31.9,27.4,579,34
01/08/15,18:00,41.4,11,6.1,1000.7,103,24,8.4,15.1,55.2,27.2,196,12
01/08/15,19:00,41,10,5.6,1001.1,8,17,7.2,13.1,69.1,27.1,21,1
01/08/15,20:00,40.1,15,7.8,1001.9,0,18,7.5,14.9,72,27.1,0,0
01/08/15,21:00,39,20,9.7,1002.7,0,18,8.1,15.5,65.5,26.9,0,0
01/08/15,22:00,38,22,10.2,1003.1,0,16,7.4,13.5,53.1,26.8,0,0
01/08/15,23:00,37,27,11.6,1003.4,0,19,5.3,12,33.4,26.8,0,0
01/08/15,24:00,35.8,30,12.1,1003.9,0,36,3.9,7.8,9.2,26.7,0,0
02/08/15,01:00,35.1,30,11.8,1003.7,0,28,4.2,8.2,-7.2,26.7,0,0
02/08/15,02:00,34.2,32,12,1003.7,0,43,5.5,9.4,-12.9,26.7,0,0
02/08/15,03:00,31.1,46,14.6,1004.1,0,53,6.8,9.3,-8.2,26.7,0,0
02/08/15,04:00,31,44,14.1,1004.1,0,31,5.5,8.4,8.5,26.6,0,0
02/08/15,05:00,30.2,48,14.6,1004.3,0,26,4.6,6.7,33.2,26.6,1,0
02/08/15,06:00,30.9,41,12.8,1004.8,29,32,6,8.6,55.9,26.6,63,4
02/08/15,07:00,30.3,44,13.5,1005.1,139,36,7.2,9.2,70.5,26.6,300,15
02/08/15,08:00,30.9,42,13.5,1005.3,336,40,7.8,9.9,74.7,26.7,654,34
02/08/15,09:00,31.8,41,13.5,1005.7,545,41,8.4,10.7,69.6,26.8,1010,58
02/08/15,10:00,31.7,44,14.5,1006,702,43,6.4,9,52.9,26.8,1313,82
02/08/15,11:00,32.6,41,14.2,1005.7,781,42,6.8,9.1,32.1,26.9,1501,100
02/08/15,12:00,34.2,36,13.5,1005,806,43,6.9,8.7,11,27,1575,105
